NO,TANGGAL,JUDUL KONTEN,JENIS KONTEN,KATEGORI DALAM AGSET BUMN,JENIS MEDIA PLAN,AKTUALISASI,MEDIA,Jenis Konten,HIGHLIGHT/CAPTIONS,LINK,CREATOR,PROCESS,KETERANGAN/JENIS KONTEN
,01 Januari 2024,Selamat Tahun Baru 2024,Hari Besar Nasional,,,Realisasi,Instagram,Video,"Selamat Tahun Baru 2024
Mari bersama kita menjadi Insan yang lebih hebat dan raih kinerja yang kian gemilang.

Terus Belajar, Bertumbuh, dan Berkontribusi Untuk Indonesia!

ASABRI
Sahabat Perjuangan Anda, Sepanjang Masa

#SelamatTahunBaru2024
#HebatdanGemilang
#ASABRIUntukIndonesia
#BUMNUntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#TransformasiASABRIUntukIndonesia
#TransformasiBUMNuntukIndonesia",https://www.instagram.com/p/C1hnYHkPzeH/,,,
,02 Januari 2024,ASABRI berkolaborasi dengan @biofarmaid melaksanakan Program TJSl ,TJSL,,,Realisasi,Instagram,Video,"Halo #SobatASABRI 

ASABRI berkolaborasi dengan @biofarmaid melaksanakan Program TJSl -  Aksi Sehat ASABRI (ASA) Untuk Indonesia #RoadtoZeroHPV2030 . Program ASA #UntukIndonesia dilaksanakan di 4 kota di Indonesia yaitu Denpasar, Manado, Lampung, dan Jakarta. PT ASABRI (Persero) berkomitmen untuk memberikan kontribusi nyata melalui kegiatan Tanggung Jawab Sosial dan Lingkungan (TJSL) yang selaras dengan Sustainable Development Goals (SDGs). 

Pada puncak acara yang dilaksanakan di Jakarta, Program ASA #untukIndonesia dilaksanakan bersama dengan Program RESTORASI #untukIndonesia (Gerakan Pengelolaan Limbah Peserta ASABRI). Kegiatan berlangsung dengan mengundang narasumber @boyspog dan @adriebasuki.id . 

Inilah ASA dan RESTRORASI #UntukIndonesia

@kementerianbumn
#ASABRIUntukIndonesia 
#RESTORASIUntukIndonesia
#TransformasiASABRIUntukIndonesia 
#TJSLASABRI #TransformasiBUMNuntukIndonesia 
#ASABRIUntukIndonesia
#BUMNUntukIndonesia",https://www.instagram.com/p/C1mAUQnvU8F/,,,
,03 Januari 2024," Autentikasi Digital Setiap Bulan
di ASABRI STAR",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI

Ayo segera lakukan Autentikasi Digital Setiap Bulan
di ASABRI STAR
#DenganASABRISTARGajiPensiunLancar 

#ASABRIUntukIndonesia 
#ASABRISTAR #BUMNUntukIndonesia 
#TransformasiASABRIUntukIndonesia 
#TransformasiBUMNuntukIndonesia",https://www.instagram.com/p/C1of2FVPB3L/,,,
,03 Januari 2024,Gerakan Apresiasi Anak Peserta ASABRI (GENERASI) #untukIndonesia,TJSL,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI 

ASABRI berkomitmen dalam mewujudkan Pendidikan Berkualitas di Indonesia dengan melaksanakan Gerakan Apresiasi Anak Peserta ASABRI (GENERASI) #untukIndonesia . Program ini dilaksanakan di 4 cabang ASABRI yaitu Ternate, Sorong, Mataram, dan Jayapura.

Melalui GENERASI #untukIndonesia diharapkan para penerima apresiasi dapat meningkatkan prestasi dalam dunia pendidikan yang sedang ditempuhnya.

Terus Belajar, Bertumbuh, dan Berkontribusi #untukIndonesia

ASABRI
""Sahabat Perjuangan Anda, Sepanjang Masa""

#GENERASIuntukIndonesia
#ASABRIUntukIndonesia 
#BUMNUntukIndonesia 
#TJSLASABRI #TransformasiASABRIuntukIndonesia",https://www.instagram.com/p/C1oZAAlPAWi/,,,
,09 Januari 2024, ASABRI menyelenggarakan kegiatan USAHA #untukIndonesia.,TJSL,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI

Sebagai bentuk komitmen dalam pengembangan Usaha Mikro Kecil (UMK), ASABRI menyelenggarakan kegiatan USAHA #untukIndonesia. Mengusung tajuk “UMK ASABRI Tumbuh Bersama”, kegiatan ini dilaksanakan bersama 50 UMK di wilayah binaan Kantor Cabang ASABRI Malang dengan berkolaborasi bersama Rumah BUMN. 

Program USAHA #untukIndonesia dilaksanakan guna mendukung Sustainable Development Goals (SDGs) Nomor 8 yaitu Pekerjaan Layak dan Pertumbuhan Ekonomi. 

#ProgramTJSLASABRI #USAHAuntukIndonesia
#ASABRIUntukIndonesia
#BUMNUntukIndonesia
#TransformasiASABRIUntukIndonesia",https://www.instagram.com/p/C13MLbCPSGp/,,,
,16 Januari 2024,"PT ASABRI (Persero) bersama Mitra Bayar Bank Mandiri Taspen menyerahkan Manfaat Tabungan Hari Tua dan Program Pensiun Marsekal Madya TNI (Purn) Agustinus Gustaf Brugman, M. SI (Han) yang memasuki masa Purna tugasnya terhitung mulai tanggal 1 Januari 2024",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"PT ASABRI (Persero) bersama Mitra Bayar Bank Mandiri Taspen menyerahkan Manfaat Tabungan Hari Tua dan Program Pensiun Marsekal Madya TNI (Purn) Agustinus Gustaf Brugman, M. SI (Han) yang memasuki masa Purna tugasnya terhitung mulai tanggal 1 Januari 2024.

Agustinus Gustaf merupakan alumnus Akademi Angkatan Udara (AAU) tahun 1988 yang terakhir menjabat sebagai Wakil Kepala Staf TNI Angkatan Udara (Wakasau). Selama kurang lebih 35 tahun pengabdiannya, beliau juga pernah menduduki jabatan strategis lainnya yaitu sebagai Kadisminpersau, Waaspers Kasau, Aspers Kasau, hingga Aspers Panglima TNI.

Pada kesempatan ini, hadir dalam penyerahan Kepala Cabang Utama ASABRI, Aris Karyawan, Kepala Cabang Pembantu Bank Mantap, Saftari Nurhasanah Putri dan Kasubdit Sahjurit Mabes TNI AU, Kolonel Nurul Ardiyanto.

Aris Karyawan menjelaskan apa saja hak pensiun yang diterima serta kewajiban sebagai Peserta Pensiun ASABRI. Marsdya Gustaf juga telah melaksanakan enrollment (perekaman wajah) dan autentikasi digital menggunakan aplikasi ASABRI Star.

“Ini sebuah kemajuan yang bagus, menurut saya pelayanan ASABRI terhadap para Purnawirawan dan mudah-mudahan pelayanan seperti ini akan bisa diteruskan mengingat para Purnawirawan sangat ingin mengetahui hak-haknya selama mereka menjadi prajurit yang dikelola oleh ASABRI. Maju terus ASABRI, untuk memberikan pelayanan terbaik kepada para Purnawirawan Prajurit TNI maupun POLRI.” Ungkap Marsdya Gustaf.

#ASABRIUntukIndonesia
#RESTORASIUntukIndonesia
#TransformasiASABRIUntukIndonesia
#TJSLASABRI #TransformasiBUMNuntukIndonesia
#ASABRIUntukIndonesia
#BUMNUntukIndonesia",https://www.instagram.com/p/C2JGUC0PFRN/,,,
,24 Januari 2024,"ASABRI lakukan enrollment dan penyerahan dan penyerahan manfaat tabungan hari tua (THT) kepada  Letnan Jenderal TNI (Purn.) Dr. Teguh Arief Indratmoko, S.E., M.M.",TJSL,,,Realisasi,Instagram,Infografis,"Akademi TNI adalah Pendidikan integeratif dari tiga matra, yakni Akademi Militer (Akmil) TNI AD, Akademi Angkatan Laut (AAL), dan Akademi Angkatan Udara (AAU) yang pembinaan dan pengelolaan ketiganya dilaksanakan oleh Komandan Jenderal Akademi TNI. 

Pada periode Juli 2022 sampai dengan November 2023 jabatan Komjen Akademi TNI dijabat oleh Letnan Jenderal TNI (Purn.) Dr. Teguh Arief Indratmoko, S.E., M.M. dan berakhir pada tanggal 1 Januari 2024.

Sebelum menjabat sebagai Komjen Akademi TNI, Letjen Teguh Arief tercatat pernah menduduki jabatan strategis lainnya seperti Pangdam Iskandar Muda, Asintel Kasad hingga Danpusterad.

Kamis, 4 Januari 2024 Direktur Hubungan Kelembagaan PT ASABRI (Persero) Khaidir Abdurrahman didampingi Kepala Cabang Utama ASABRI Aris Karyawan berkesempatan menyerahkan manfaat Program Tabungan Hari Tua (THT) dan Jaminan Pensiun kepada Letjen Teguh Arief di kediaman beliau di Kalisari, Jakarta Timur.

Kepada Beliau telah dijelaskan Manfaat Pensiun yang diterima serta hak dan kewajiban sebagai Peserta ASABRI. Letjen Teguh Arief pun telah melakukan Enrollment dan autentikasi digital serta informasi terkait aplikasi ASABRI Mobile dan ASABRI STAR.

“Terima kasih atas pelayanan yang luar biasa ini, saya berharap ini berlaku kepada semua level dan tidak kepada level Bintang saja. Karena terus terang saya saja kurang mengerti bagaimana mengurus pensiun dan harus tanya sana - sini. Alhamdulillah ternyata pelayanan ASABRI sangat cepat dan kedepan saya harap jauh lebih baik lagi pelayanannya dan Upaya - Upaya yang dilakukan ASABRI kian maju.” Ungkap Jenderal Bintang tiga ini di akhir kegiatan.

#ASABRIUntukIndonesia
#RESTORASIUntukIndonesia
#TransformasiASABRIUntukIndonesia
#TJSLASABRI #TransformasiBUMNuntukIndonesia
#ASABRIUntukIndonesia
#BUMNUntukIndonesia",https://www.instagram.com/p/C2eAaq3hNmY/,,,
,25 Januari 2024,"Testimoni dari mantan Komjen Akademi TNI, Letnan Jenderal TNI (Purn.) Teguh Arief Indratmoko",Campaign ASABRI,,,Realisasi,Instagram,Video,"Testimoni dari mantan Komjen Akademi TNI, Letnan Jenderal TNI (Purn.) Teguh Arief Indratmoko, sebagai Peserta ASABRI saat penyerahan Manfaat Tabungan Hari Tua dan Program Pensiun.

#ASABRIUntukIndonesia
#RESTORASIUntukIndonesia
#TransformasiASABRIUntukIndonesia
#TJSLASABRI #TransformasiBUMNuntukIndonesia
#ASABRIUntukIndonesia
#BUMNUntukIndonesi",https://www.instagram.com/p/C2gP9ltS-x3/,,,
,26 Januari 2024,Direktur Utama PT ASABRI (Persero) Wahyu Suparyono menghadiri Undangan Kunjungan Kerja Wakil Menteri BUMN Kartika Wirjoatmodjo ke PT Pindad,Campaign ASABRI,,,Realisasi,Instagram,Video,"Direktur Utama PT ASABRI (Persero) Wahyu Suparyono menghadiri Undangan Kunjungan Kerja Wakil Menteri BUMN Kartika Wirjoatmodjo ke PT Pindad pada, Senin 22 Januari 2024.

Dalam kunjungan kerja tersebut, Wakil Menteri BUMN meninjau berbagai proyek dan produk di bawah Holding DEFEND ID seperti Medium Tank Harimau, Rantis Komodo, Ranpur Anoa, Ranpur Pandur 8x8, dan berkesempatan menjajal Ranops MV3 dan Pesawat buatan PT Dirgantara Indonesia.

Kartika Wirjoatmodjo mengungkapkan BUMN di Indonesia didesain sebagai agen pembangunan di berbagai sektor dan menghasilkan keuntungan. Dalam konteks pengembangan, BUMN bersama dengan pemerintah bisa membangun kapabilitas pengembangan industri pertahanan jangka panjang.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C2j7qxAveP4/,,,
,06 Februari 2024,"PT ASABRI (Persero) serahkan manfaat Tabungan Hari Tua (THT) dan Pensiun Pertama (PP) kepada Marsekal Madya TNI (Purn) Donny Ermawan Taufanto, M.D.S, M.S.P",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"PT ASABRI (Persero) serahkan manfaat Tabungan Hari Tua (THT) dan Pensiun Pertama (PP) kepada Marsekal Madya TNI (Purn) Donny Ermawan Taufanto, M.D.S, M.S.P di Kantor Kementerian Pertahanan RI daerah Gambir, Jakarta Pusat pada Kamis, 25 Januari 2024.

Sebelumnya beliau menjabat sebagai Sekjen Kemhan RI periode 2020 s.d 2024 dan memasuki masa pensiun TMT 01 Januari 2024.

Manfaat pensiun ini diserahkan langsung oleh Direktur Hubungan Kelembagaan, bapak Khaidir Abdurrahman dan Kepala Kantor Cabang Utama ASABRI Jakarta, bapak Aris Karyawan. Pada kesempatan yang sama, tim KCU juga memberikan informasi mengenai kewajiban sebagai peserta pensiun, yakni untuk melakukan autentikasi digital.

ASABRI yang terus berinovasi dalam era digital memiliki aplikasi ASABRI STAR untuk memudahkan peserta pensiun untuk melakukan autentikasi bulanan dari genggaman. Setelah berhasil melakukan enrollment oleh petugas ASABRI, Marsekal Madya TNI (Purn) Donny Ermawan Taufanto melakukan autentikasi digital secara mandiri.

Di akhir pertemuan ini, Beliau mengapresiasi dan berterima kasih kepada ASABRI karena telah bekerja untuk Purnawirawan TNI sehingga hak-hak pembayaran pensiun dibayarkan dengan lancar dan berharap ASABRI dapat berkinerja dengan lebih baik lagi.

#ASABRIUntukIndonesia
#TransformasiASABRIUntukIndonesia #TransformasiBUMNuntukIndonesia
#ASABRIUntukIndonesia
#BUMNUntukIndonesia",https://www.instagram.com/p/C2_z17pP1VP/,,,
