COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
Media Komunikasi;;;Senin Semangat;Corporate Action;Media Plan Biasa;Realisasi;Instagram;Infografis;;;Agung;Kartika;Not Started
PT ASABRI (Persero) Tahun 2025;;;ASABRI Link;Corporate Issue;Top One;Tidak Realisasi;Website;Video;;;Andres;Approval;On Progress
;;;Sekilas;CSR Action;;;Tiktok;;;;Rizky;Okki J;Review Kabid
;;;Berseri;;;;X;;;;Clara;;Approve Kabid
;;;Cerita;;;;Facebook;;;;Evelyn;;Review Sesper
;;;TJSL;;;;Youtube;;;;Ryan;;Approve Sesper
;;;Campaign Bersama BUMN;;;;LinkedIn;;;;;;
;;;Campaign Nasional;;;;;;;;;;
;;;Hari Besar Nasional;;;;;;;;;;
;;;Hari Penting;;;;;;;;;;
;;;Campaign ASABRI;;;;;;;;;;
;;;Konten Lainnya;;;;;;;;;;
;;;;;;;;;;;;;
NO;TANGGAL;JUDUL KONTEN;JENIS KONTEN;KATEGORI DALAM AGSET BUMN;JENIS MEDIA PLAN;AKTUALISASI;MEDIA;Jenis Konten;HIGHLIGHT/CAPTIONS;LINK;CREATOR;PROCESS;KETERANGAN/JENIS KONTEN
1;01 Januari 2025;Penutup 2024;Hari Besar Nasional;Corporate Action;Media Plan Biasa;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Tahun 2024 telah menjadi perjalanan luar biasa bagi PT ASABRI (Persero).

Kepada para Peserta, Para Pemangku Kepentingan dan Publik, kami berterima kasih atas kepercayaan yang diberikan.

Kepada seluruh Insan ASABRI, terima kasih atas kontribusi yang luar biasa.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa
Kita Berkualitas, Kita Hebat

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DEQBYACyB46/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Agung;Approve Sesper;
2;01 Januari 2025;Selamat Tahun 2025;Hari Besar Nasional;Corporate Action;Media Plan Biasa;Realisasi;Instagram;Video;"Halo #SobatASABRI

Selamat Tahun Baru 2025! ???

Mari kita gapai cita, harapan, kesempatan di tahun 2025 dengan semangat baru dan tekad yang kuat!

Bersama, kita terus melangkah maju dengan komitmen ASABRI Tangguh Bertumbuh untuk Indonesia. ??????

#ASABRITangguhBertumbuh
#ASABRIUntukIndonesia #BUMNUntukIndonesia";https://www.instagram.com/reel/DEQCFEISBq9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Agung;Approve Sesper;
3;01 Januari 2025;Penutup 2024;Hari Besar Nasional;Corporate Action;Media Plan Biasa;Realisasi;Facebook;Infografis;"Halo #SobatASABRI 

Tahun 2024 telah menjadi perjalanan luar biasa bagi PT ASABRI (Persero). 

Kepada para Peserta, Para Pemangku Kepentingan dan Publik, kami berterima kasih atas kepercayaan yang diberikan.

Kepada seluruh Insan ASABRI, terima kasih atas kontribusi yang luar biasa.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa
Kita Berkualitas, Kita Hebat

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1A4hwfb3sQ/;Evelyn;Approve Sesper;
4;06 Januari 2025;Autentikasi ASABRI;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Tanggal Enam Bulan Januari,
Jangan Lupa Autentikasi Sobat ASABRI

#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/14X2rwMsZR1/;Evelyn;Approve Sesper;
5;09 Januari 2025;Bagaimana cara mendapatkan Formulir pengajuan ASABRI?;Berseri;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ??

Bagaimana cara mendapatkan Formulir pengajuan ASABRI?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau mengunjungi Kantor Cabang sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#ManfaatProgramASABRI
#LayananASABRI
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1JJWivGi7f/;Evelyn;Approve Sesper;
6;13 Januari 2025;Selamat dan Semangat Hari Senin;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Semangat melayani bukan hanya tentang memberi, tetapi juga tentang membangun harapan bagi Indonesia yang lebih baik.

#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1DtXSBag1G/;Evelyn;Approve Sesper;
7;17 Januari 2025;ASABRI Link di wilayah Jakarta dan sekitarnya;ASABRI Link;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Sebagai salah satu bentuk Layanan ASABRI Untuk Indonesia, ASABRI telah menghadirkan ASABRI Link di wilayah Jakarta dan sekitarnya loh..

Bagi #SobatASABRI yang berdomisili di wilayah Jakarta dan sekitarnya, Sobat dapat mengunjungi Kantor Cabang Utama ASABRI Jakarta dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Jakarta, Sobat bisa mengunjungi @asabri_kcujakarta ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia Lihat Lebih Sedikit";https://www.facebook.com/share/r/17NYgpMo65/;Rizky;Approve Sesper;
8;20 Januari 2025;Hari tua;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Hari tua adalah kesempatan untuk merasakan kedamaian. Mulailah merencanakan hari tua anda dengan bijak dari sekarang.

#ASABRITangguhBertumbuh
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1CpqJQF9Xy/;;Approve Sesper;
9;24 Januari 2025;Manfaat Program ASABRI?;Sekilas;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

""Di balik langkah para penjaga kedaulatan bangsa, ada perlindungan yang setia mendampingi - ASABRI.""

ASABRI sebagai Badan Usaha Milik Negara, hadir melindungi Prajurit TNI, anggota Polri, ASN Kemhan, dan ASN Polri dengan Manfaat Program sesuai amanah Peraturan Pemerintah Nomor 54 Tahun 2020, perubahan atas Peraturan Pemerintah Nomor 102 Tahun 2015. 

Apa saja Manfaat Program ASABRI?

Nah mari simak video #SEKILAS kali ini yang membahas tentang Manfaat Program ASABRI. 

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI www.asabri.co.id, Kanal Sosial Media ASABRI, Akun resmi contact center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

#ManfaatProgramASABRI
#SegmenEdukasidanKolaborasiInfluencerASABRI
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/17LmTkg1gt/;;Approve Sesper;
10;24 Januari 2025;Libur Nasional Isra Mi'raj Nabi Muhammad S.A.W dan Tahun Baru Imlek 2567 Kongzili Tahun 2025;Hari Besar Nasional;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Sehubungan dengan Libur Nasional Isra Mi'raj Nabi Muhammad S.A.W dan Tahun Baru Imlek 2567 Kongzili Tahun 2025, bersama ini kami sampaikan Operasional Layanan Kantor Cabang ASABRI sesuai dengan infografis di atas ya Sobat..

#LayananASABRI
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/17jp2ZdYCu/;;Approve Sesper;
11;27 Januari 2025;Memperingati Isra Mi'raj Nabi Muhammad SAW 1446 H;Hari Besar Nasional;;;Realisasi;Facebook;Video;"Halo #SobatASABRI dan #InsanBUMN

Selamat memperingati Isra Mi'raj Nabi Muhammad SAW 1446 H

Peristiwa penuh makna ini mengajarkan kita pentingnya beribadah sebagai wujud kedekatan hamba dengan Allah SWT. Mari jadikan momen ini sebagai pengingat untuk memperbaiki diri dan memperkuat iman. Semoga kita senantiasa berada dalam lindungan dan rahmat-Nya, serta mampu meneladani akhlak mulia Rasulullah SAW dalam kehidupan sehari-hari. ??? Bersama kita tingkatkan kualitas spiritual untuk menjadi insan yang lebih baik. 

#IsraMiraj1446H
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1Bkz7Vdtzw/;;Approve Sesper;
12;29 Januari 2025;Happy Chinese New Year 2025;Hari Besar Nasional;;;Realisasi;Facebook;Video;"Halo #SobatASABRI 

Happy Chinese New Year 2025

Xin Nian Kuai Le ?

Selamat Tahun Baru Imlek 2025. Tahun Ular Kayu hadir dengan harapan baru. Saatnya untuk melangkah maju dengan ketenangan, harapan, dan optimisme dalam menjalani setiap tantangan. Mari raih mimpi dengan penuh semangat untuk menjadi Insan yang berkualitas dan hebat!

29 Januari 2025
Gong Xi Fa Cai!

#ChineseNewYear2025
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1bsufDxPgb/;;Approve Sesper;
13;30 Januari 2025;ASABRI berkomitmen mendukung Asta Cita Presiden Prabowo Subianto;Campaign Bersama BUMN;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

ASABRI sebagai BUMN pengelola Asuransi Sosial TNI, Polri, ASN Kemhan, dan ASN Polri terus berkomitmen mendukung Asta Cita Presiden Prabowo Subianto, dengan menjamin kesejahteraan Peserta ASABRI dan Keluarga yang menjaga kedaulatan Bangsa dan Negara.

ASABRI memiliki peran dalam ekosistem pertahanan dan keamanan negara dengan mengelola Manfaat Mrogram Asuransi Sosial sesuai PP 102 Tahun 2015 sebagaimana telah diubah dengan PP 54 Tahun 2020 berupa:
?? Tabungan Hari Tua (THT)
?? Jaminan Kecelakaan Kerja (JKK)
?? Jaminan Kematian (JKm)
???????? Pensiun

Semua itu adalah amanah yang diemban untuk memastikan setiap Peserta dan Keluarga aman dan tenang saat berkarya untuk bangsa dan sejahtera saat purna tugas nantinya. 

Layanan yang berkualitas menjadi kewajiban. Digitalisasi menjadi jawaban untuk kemudahan masa kini dan masa depan

?? ASABRI Mobile
? ASABRI STAR
?? ASABRI Link

Kami akan terus berkarya, berkontribusi memberikan layanan terbaik untuk Anda.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#BUMNDukungAstaCita
#PembangunanBerkelanjutan
#EkonomiKerakyatan";https://www.facebook.com/share/v/17pQgZCTu8/;;Approve Sesper;
14;03 Februari 2025;Autentikasi di ASABRI STAR;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Sudahkan Sobat melakukan Autentikasi di ASABRI STAR?

Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi digital di ASABRI STAR mulai tanggal 1 sampai dengan tanggal 10 setiap bulannya agar Gaji Pensiun dapat masuk ke rekening.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut, silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar 
ASABRI atau menghubungi Call Center 1500043 dan media sosial ASABRI.

#DenganASABRISTARGajiPensiunAman
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/16j66ELYWf/;;Approve Sesper;
15;03 Februari 2025;"Selamat dan Semangat Hari Senin
";Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Hari Senin di Tahun Baru Imlek adalah kesempatan emas untuk memulai langkah sukses. Tebarkan semangat positif dan keberuntungan!

#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1BnDcRe3Qt/;;Approve Sesper;
16;05 Februari 2025; ASABRI Link di wilayah Serang dan sekitarnya;ASABRI Link;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Sebagai salah satu bentuk Layanan ASABRI Untuk Indonesia, ASABRI telah menghadirkan ASABRI Link di wilayah Serang dan sekitarnya loh..

Bagi #SobatASABRI yang berdomisili di wilayah Serang dan sekitarnya, Sobat dapat mengunjungi Kantor Cabang ASABRI Serang dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Serang, Sobat bisa mengunjungi @asabri_kcserang ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1BiBd9umwa/;;Approve Sesper;
